policy_id,customer_id,product_type,broker_channel,sum_insured,premium_monthly,inception_date,policy_status,lapse_date
P00208,C00041,Personal Liability,Direct - Online/App,2000000,180.53,2025-06-07,Active,
P00558,C00172,Household Contents,Direct - Call Centre,780449,385.89,2026-04-27,Active,
P00192,C00486,Motor,Broker,288076,187.23,2026-02-05,Active,
P00511,C00191,Personal Liability,Direct - Online/App,2000000,105.47,2023-12-26,Active,
P00738,C00137,Motor,Broker,543484,544.15,2023-09-11,Active,
P00685,C00484,Motor,Direct - Online/App,376250,432.99,2025-11-17,Active,
P00560,C00075,Household Contents,Direct - Online/App,485184,202.67,2026-01-26,Lapsed,2026-03-29
P00544,C00258,Motor,Broker,595632,524.96,2024-01-30,Active,
P00717,C00064,Motor,Direct - Call Centre,499330,472.17,2025-12-06,Lapsed,2026-05-10
P00129,C00270,Motor,Direct - Call Centre,584503,578.23,2024-04-06,Lapsed,2025-01-03
P00590,C00398,Motor,Broker,580827,368.18,2024-09-17,Active,
P00632,C00489,Personal Liability,Broker,2000000,213.13,2023-03-05,Active,
P00130,C00342,Motor,Direct - Call Centre,389134,248.96,2023-07-19,Active,
P00202,C00055,Personal Liability,Bancassurance,5000000,179.65,2025-08-07,Active,
P00636,C00403,Household Contents,Direct - Call Centre,558666,152.85,2023-11-05,Active,
P00577,C00041,Motor,Broker,181660,140.41,2026-03-22,Active,
P00423,C00099,Portable Possessions,Broker,92425,121.63,2024-08-08,Lapsed,2026-02-02
P00358,C00169,Motor,Broker,98734,60.83,2026-03-10,Lapsed,2026-05-10
P00251,C00253,Household Buildings,Broker,2050669,601.29,2026-01-30,Active,
P00700,C00418,Household Contents,Direct - Online/App,701102,330.96,2023-02-25,Active,
P00308,C00022,Household Contents,Broker,591684,245.65,2025-03-05,Active,
P00154,C00067,Household Contents,Broker,691370,311.67,2025-05-08,Active,
P00280,C00029,Motor,Direct - Call Centre,152309,98.47,2025-07-13,Active,
P00476,C00123,Motor,Broker,607050,595.25,2025-05-29,Active,
P00536,C00231,Household Contents,Broker,366880,0.0,2024-11-09,Active,
P00675,C00238,Motor,Broker,178129,119.39,2025-06-25,Active,
P00588,C00217,Household Buildings,Direct - Call Centre,2688796,743.35,2024-03-31,Active,
P00047,C00319,Portable Possessions,Broker,117673,167.5,2025-08-09,Lapsed,2026-05-18
P00491,C00394,Household Contents,Broker,601452,236.06,2025-10-19,Active,
P00296,C00047,Motor,Direct - Call Centre,489316,277.13,2025-07-17,Active,
P00026,C00337,Motor,Broker,643830,945.63,2023-07-23,Active,
P00061,C00140,Motor,Broker,275064,210.31,2026-04-09,Active,
P00218,C00040,Motor,Bancassurance,436910,617.01,2025-10-06,Lapsed,2026-07-22
P00122,C00221,Motor,Broker,457720,263.2,2026-01-16,Active,
P00169,C00022,Motor,Broker,114559,99.54,2025-12-29,Active,
P00124,C00146,Motor,Direct - Online/App,495085,714.19,2024-02-13,Active,
P00533,C00467,Motor,Direct - Online/App,626567,513.85,2025-02-11,Active,
P00749,C00151,Motor,Direct - Call Centre,318808,243.11,2024-07-04,Cancelled,2025-11-27
P00570,C00389,Portable Possessions,Direct - Online/App,101907,159.96,2023-04-05,Active,
P00310,C00466,Motor,Broker,313529,213.81,2026-04-10,Active,
P00275,C00324,Household Contents,Broker,466317,181.0,2023-01-09,Active,
P00630,C00185,Motor,Direct - Call Centre,439686,287.44,2024-09-25,Active,
P00300,C00197,Household Buildings,Direct - Online/App,2102396,297.62,2025-02-16,Active,
P00574,C00316,Motor,Broker,121893,117.87,2026-06-27,Active,
P00260,C00452,Motor,Broker,535722,743.27,2024-01-27,Lapsed,2024-09-30
P00722,C00205,Motor,Broker,199469,189.68,2026-04-20,Active,
P00562,C00020,Household Buildings,Direct - Online/App,1566557,285.53,2023-07-08,Active,
P00613,C00124,Household Contents,Broker,365770,192.22,2023-08-19,Lapsed,2024-11-30
P00473,C00230,Portable Possessions,Direct - Call Centre,73797,102.27,2023-10-17,Active,
P00583,C00281,Portable Possessions,Direct - Online/App,76393,68.95,2024-06-17,Active,
P00330,C00259,Motor,Broker,615431,839.49,2026-05-10,Lapsed,2026-07-24
P00454,C00320,Motor,Broker,253799,258.55,2023-08-21,Active,
P00637,C00260,Motor,Bancassurance,114099,80.81,2025-03-30,Active,
P00382,C00336,Motor,Direct - Online/App,625419,694.23,2025-06-03,Lapsed,2026-06-08
P00215,C00171,Portable Possessions,Broker,22581,30.9,2026-05-28,Active,
P00093,C00167,Household Contents,Direct - Call Centre,827837,288.37,2025-04-30,Active,
P00301,C00237,Household Contents,Broker,459061,157.4,2023-05-25,Active,
P00422,C00249,Household Contents,Bancassurance,869508,289.52,2026-01-23,Active,
P00375,C00299,Personal Liability,Broker,1000000,175.07,2026-02-23,Lapsed,2026-06-30
P00615,C00074,Motor,Direct - Online/App,417125,482.16,2026-02-23,Lapsed,2026-05-07
P00203,C00125,Household Buildings,Broker,1071629,231.55,2025-07-28,Active,
P00543,C00203,Motor,Bancassurance,277548,150.12,2024-05-01,Active,
P00040,C00414,Motor,Bancassurance,498343,362.78,2024-07-25,Active,
P00007,C00448,Motor,Direct - Call Centre,520576,495.09,2024-06-18,Active,
P00027,C00247,Portable Possessions,Bancassurance,41986,65.33,2023-03-24,Active,
P00097,C00306,Household Buildings,Direct - Call Centre,2121504,539.09,2025-08-29,Active,
P00603,C00057,Motor,Bancassurance,237129,274.0,2025-09-12,Active,
P00188,C00495,Motor,Broker,112084,151.72,2026-03-07,Active,
P00493,C00399,Motor,Broker,298308,290.68,2023-03-10,Cancelled,2023-07-23
P00184,C00149,Motor,Direct - Online/App,406975,406.16,2023-06-24,Active,
P00269,C00162,Motor,Broker,624840,925.24,2026-02-23,Active,
P00611,C00264,Motor,Broker,458995,552.64,2024-09-10,Active,
P00514,C00053,Personal Liability,Direct - Online/App,5000000,208.68,2024-12-27,Active,
P00299,C00260,Personal Liability,Direct - Online/App,2000000,121.63,2024-09-10,Active,
P00725,C00459,Motor,Broker,570444,428.12,2024-08-25,Active,
P00396,C00169,Motor,Broker,420928,555.67,2024-02-06,Active,
P00070,C00446,Personal Liability,Direct - Online/App,2000000,85.97,2025-04-06,Lapsed,2026-05-02
P00524,C00140,Household Buildings,Broker,676403,189.03,2024-02-26,Active,
P00003,C00344,Portable Possessions,Bancassurance,26660,40.13,2024-06-08,Lapsed,2025-09-28
P00509,C00247,Personal Liability,Broker,2000000,191.4,2023-08-13,Active,
P00088,C00175,Motor,Broker,296842,442.24,2023-10-04,Lapsed,2024-02-10
P00224,C00100,Motor,Direct - Call Centre,545029,642.21,2023-12-10,Active,
P00316,C00310,Motor,Broker,626846,790.35,2023-03-12,Active,
P00273,C00241,Motor,Broker,116599,147.79,2025-02-07,Active,
P00693,C00454,Household Contents,Broker,898956,313.0,2023-02-19,Active,
P00172,C00236,Motor,Broker,324586,388.96,2025-07-18,Active,
P00144,C00392,Motor,Broker,593052,499.74,2023-02-24,Lapsed,2025-02-26
P00716,C00140,Personal Liability,Direct - Online/App,1000000,205.59,2025-12-21,Active,
P00680,C00416,Motor,Broker,536141,758.87,2026-06-29,Active,
P00397,C00417,Household Contents,Direct - Online/App,600593,230.57,2024-05-21,Active,
P00383,C00358,Household Contents,Direct - Call Centre,706639,269.0,2025-09-05,Active,
P00023,C00260,Motor,Broker,384722,574.6,2023-09-25,Cancelled,2024-05-05
P00244,C00389,Personal Liability,Broker,5000000,138.03,2024-06-05,Active,
P00034,C00189,Portable Possessions,Direct - Call Centre,50210,68.03,2023-09-13,Active,
P00446,C00306,Household Buildings,Broker,515283,130.98,2023-02-06,Active,
P00145,C00131,Motor,Direct - Call Centre,466716,294.38,2024-10-08,Active,
P00180,C00208,Household Buildings,Direct - Call Centre,1808409,348.36,2026-02-15,Active,
P00495,C00258,Motor,Direct - Call Centre,314096,179.38,2023-11-23,Active,
P00559,C00406,Motor,Broker,393932,500.53,2026-07-24,Active,
P00178,C00220,Motor,Broker,475645,584.32,2024-01-18,Lapsed,2024-04-21
P00408,C00331,Motor,Broker,109528,137.55,2024-07-27,Active,
P00359,C00049,Motor,Broker,402005,394.21,2024-03-06,Active,
P00468,C00313,Motor,Direct - Online/App,461091,439.51,2024-02-28,Active,
P00739,C00411,Portable Possessions,Broker,95580,147.41,2023-01-25,Active,
P00121,C00177,Motor,Direct - Call Centre,118022,131.46,2025-09-25,Active,
P00352,C00027,Motor,Broker,356739,441.45,2023-04-04,Lapsed,2023-08-15
P00545,C00192,Personal Liability,Broker,2000000,191.08,2024-08-22,Active,
P00071,C00074,Motor,Broker,303855,410.51,2025-04-16,Active,
P00663,C00171,Motor,Direct - Call Centre,179855,129.41,2026-05-01,Active,
P00089,C00081,Personal Liability,Direct - Call Centre,2000000,211.65,2025-08-19,Active,
P00289,C00189,Personal Liability,Broker,5000000,128.21,2026-07-14,Active,
P00373,C00171,Motor,Broker,331087,362.95,2025-01-05,Active,
P00601,C00235,Household Contents,Broker,168016,54.01,2024-10-25,Active,
P00248,C00488,Household Buildings,Direct - Online/App,574336,168.99,2025-12-08,Active,
P00325,C00461,Motor,Bancassurance,106350,59.23,2023-01-02,Active,
P00256,C00297,Household Buildings,Direct - Online/App,598808,102.96,2026-07-18,Active,
P00118,C00387,Motor,Direct - Online/App,407846,372.74,2023-05-15,Lapsed,2024-12-01
P00094,C00398,Household Contents,Direct - Call Centre,588268,269.34,2024-08-05,Lapsed,2025-05-09
P00410,C00217,Motor,Broker,170362,156.23,2024-10-18,Active,
P00075,C00036,Household Buildings,Bancassurance,2015830,496.67,2025-05-29,Active,
P00170,C00224,Motor,Direct - Online/App,437362,388.44,2024-02-06,Active,
P00747,C00093,Household Contents,Direct - Online/App,591651,149.96,2023-08-03,Active,
P00189,C00167,Household Contents,Direct - Online/App,491118,204.74,2026-03-05,Active,
P00522,C00391,Motor,Broker,333340,478.26,2025-03-31,Active,
P00459,C00225,Motor,Broker,582580,413.49,2023-10-06,Lapsed,2026-03-24
P00553,C00477,Motor,Direct - Online/App,352983,350.83,2026-07-27,Active,
P00326,C00429,Portable Possessions,Broker,142404,203.51,2023-04-02,Active,
P00151,C00383,Household Buildings,Direct - Online/App,2095471,399.27,2025-11-10,Active,
P00523,C00083,Personal Liability,Broker,5000000,185.15,2025-03-21,Lapsed,2026-01-15
P00619,C00315,Motor,Direct - Call Centre,332240,377.2,2023-09-26,Active,
P00392,C00287,Personal Liability,Direct - Online/App,2000000,138.49,2025-04-25,Active,
P00501,C00103,Motor,Direct - Call Centre,492496,518.28,2024-06-22,Active,
P00294,C00443,Household Buildings,Direct - Online/App,1099440,166.79,2024-12-11,Active,
P00354,C00324,Personal Liability,Bancassurance,2000000,224.29,2026-05-03,Active,
P00221,C00059,Household Buildings,Broker,1810967,354.54,2023-01-01,Active,
P00318,C00257,Household Contents,Broker,461039,212.45,2023-01-07,Lapsed,2025-10-09
P00563,C00147,Motor,Broker,120179,142.21,2023-10-14,Lapsed,2025-03-11
P00697,C00159,Motor,Broker,163509,206.98,2025-02-26,Active,
P00676,C00357,Motor,Broker,610034,349.53,2024-03-12,Lapsed,2026-05-10
P00319,C00078,Motor,Broker,451048,375.44,2025-05-30,Active,
P00022,C00296,Motor,Broker,451451,619.12,2025-01-31,Active,
P00057,C00356,Motor,Broker,153070,117.57,2025-11-03,Active,
P00290,C00426,Motor,Direct - Online/App,387015,564.15,2023-08-09,Active,
P00119,C00263,Portable Possessions,Bancassurance,42182,67.83,2024-07-24,Lapsed,2025-04-15
P00366,C00437,Motor,Direct - Online/App,123634,141.93,2026-06-28,Active,
P00222,C00272,Portable Possessions,Broker,38345,42.17,2024-08-04,Active,
P00098,C00044,Household Contents,Bancassurance,898945,246.27,2024-10-14,Active,
P00420,C00486,Household Contents,Bancassurance,781743,412.33,2026-03-08,Active,
P00403,C00379,Household Contents,Direct - Call Centre,452691,137.28,2025-05-08,Active,
P00591,C00148,Motor,Bancassurance,122103,157.95,2024-05-03,Active,
P00526,C00464,Motor,Direct - Call Centre,371424,487.16,2025-11-06,Lapsed,2026-01-08
P00279,C00303,Household Buildings,Bancassurance,1426676,341.33,2023-07-31,Cancelled,2024-08-04
P00486,C00348,Motor,Broker,455492,482.7,2025-02-09,Active,
P00156,C00273,Personal Liability,Direct - Call Centre,1000000,231.94,2023-02-25,Active,
P00128,C00250,Personal Liability,Direct - Call Centre,2000000,223.26,2025-08-14,Active,
P00634,C00279,Motor,Broker,285714,347.04,2023-04-15,Lapsed,2025-08-23
P00540,C00014,Motor,Broker,182777,203.54,2025-04-22,Active,
P00450,C00093,Motor,Direct - Call Centre,458089,465.35,2026-01-07,Active,
P00050,C00330,Motor,Broker,547717,405.72,2024-07-28,Active,
P00393,C00193,Household Buildings,Direct - Call Centre,3277526,834.88,2024-12-02,Active,
P00211,C00159,Motor,Broker,544966,481.39,2023-02-18,Active,
P00445,C00068,Household Buildings,Broker,2930134,778.87,2023-10-15,Active,
P00534,C00114,Portable Possessions,Broker,82795,79.64,2024-11-13,Active,
P00572,C00241,Motor,Direct - Call Centre,435158,619.24,2024-08-17,Active,
P00021,C00054,Motor,Bancassurance,135181,195.65,2023-08-31,Active,
P00426,C00080,Motor,Direct - Online/App,410564,240.12,2024-10-30,Active,
P00241,C00309,Motor,Broker,259516,232.67,2024-05-30,Active,
P00150,C00255,Motor,Bancassurance,94366,66.26,2025-03-01,Active,
P00457,C00085,Household Buildings,Direct - Call Centre,608074,138.98,2025-07-08,Active,
P00438,C00270,Household Contents,Broker,740319,374.73,2023-03-22,Active,
P00005,C00211,Motor,Direct - Call Centre,263018,182.33,2025-05-06,Lapsed,2026-05-13
P00550,C00115,Personal Liability,Broker,5000000,158.06,2024-07-08,Active,
P00557,C00333,Motor,Broker,431820,321.82,2024-01-28,Lapsed,2026-01-09
P00485,C00189,Motor,Bancassurance,264228,288.29,2023-09-20,Active,
P00537,C00453,Motor,Direct - Online/App,520780,570.54,2023-07-25,Active,
P00677,C00246,Portable Possessions,Broker,117893,138.01,2024-08-13,Active,
P00138,C00105,Household Buildings,Direct - Call Centre,555863,75.47,2024-08-14,Active,
P00110,C00339,Household Buildings,Broker,563468,107.57,2023-08-20,Lapsed,2024-07-04
P00331,C00331,Motor,Broker,95307,100.4,2025-03-05,Active,
P00435,C00428,Motor,Broker,197779,160.67,2023-12-24,Lapsed,2024-10-22
P00589,C00057,Motor,Broker,175917,180.3,2023-11-16,Active,
P00298,C00305,Household Buildings,Broker,649221,169.76,2025-03-09,Active,
P00206,C00206,Household Contents,Direct - Call Centre,530006,239.6,2026-05-23,Lapsed,2026-07-22
P00535,C00419,Household Contents,Broker,311233,145.59,2024-02-01,Active,
P00696,C00478,Personal Liability,Bancassurance,1000000,104.7,2024-04-03,Lapsed,2026-05-30
P00283,C00038,Portable Possessions,Broker,22776,36.5,2025-02-14,Active,
P00639,C00011,Motor,Direct - Online/App,195393,117.84,2024-02-11,Lapsed,2026-05-24
P00361,C00348,Household Contents,Direct - Online/App,418493,166.15,2025-02-04,Cancelled,2025-05-01
P00718,C00410,Household Contents,Direct - Call Centre,239641,134.33,2026-03-16,Active,
P00105,C00026,Household Contents,Direct - Online/App,787976,442.04,2025-08-02,Active,
P00374,C00042,Motor,Broker,138044,115.5,2023-01-10,Active,
P00064,C00159,Household Buildings,Broker,2929822,0.0,2025-08-11,Active,
P00062,C00360,Household Contents,Broker,586640,220.64,2026-06-15,Active,
P00240,C00089,Portable Possessions,Broker,43173,56.32,2026-07-22,Active,
P00730,C00096,Motor,Broker,463907,362.64,2024-08-13,Active,
P00515,C00365,Personal Liability,Broker,1000000,87.15,2023-05-02,Active,
P00428,C00152,Portable Possessions,Direct - Online/App,79360,71.98,2024-03-25,Active,
P00084,C00111,Motor,Direct - Online/App,312351,455.57,2026-03-04,Active,
P00125,C00348,Motor,Broker,193887,143.81,2024-08-29,Active,
P00254,C00289,Household Buildings,Direct - Online/App,1270684,311.13,2024-12-26,Lapsed,2026-02-27
P00258,C00349,Household Contents,Broker,520074,243.18,2025-01-11,Active,
P00518,C00436,Motor,Broker,117208,67.39,2023-12-05,Active,
P00592,C00122,Household Buildings,Broker,691713,136.15,2024-03-29,Active,
P00480,C00402,Motor,Direct - Call Centre,476272,671.59,2025-08-22,Active,
P00597,C00215,Motor,Broker,208505,196.66,2025-04-14,Active,
P00503,C00310,Motor,Broker,133085,165.85,2023-09-26,Active,
P00317,C00244,Household Contents,Direct - Online/App,249353,140.28,2024-07-28,Active,
P00458,C00370,Household Buildings,Direct - Call Centre,779654,109.32,2025-11-10,Active,
P00185,C00059,Motor,Direct - Call Centre,324183,385.7,2025-08-20,Active,
P00425,C00071,Personal Liability,Direct - Online/App,5000000,95.32,2025-11-06,Active,
P00370,C00309,Personal Liability,Broker,5000000,138.19,2024-01-06,Active,
P00357,C00034,Motor,Direct - Online/App,366707,429.74,2025-07-02,Active,
P00307,C00459,Portable Possessions,Direct - Call Centre,121544,191.08,2024-08-08,Lapsed,2025-03-20
P00635,C00260,Motor,Broker,200395,102.05,2023-07-28,Active,
P00166,C00204,Motor,Broker,188325,263.35,2024-02-07,Active,
P00181,C00364,Portable Possessions,Broker,149326,134.24,2025-03-19,Active,
P00686,C00235,Motor,Broker,226149,187.22,2023-09-11,Active,
P00012,C00445,Household Contents,Broker,550134,142.4,2026-04-09,Active,
P00116,C00140,Motor,Direct - Online/App,265474,303.7,2024-04-05,Active,
P00618,C00001,Motor,Broker,613677,713.22,2025-04-04,Lapsed,2026-04-26
P00579,C00132,Motor,Broker,150674,146.72,2023-03-11,Lapsed,2023-05-11
P00464,C00369,Motor,Broker,409708,287.74,2024-07-19,Lapsed,2024-11-08
P00431,C00052,Household Contents,Broker,183641,51.11,2025-12-05,Active,
P00165,C00037,Motor,Broker,609890,882.81,2025-02-03,Active,
P00199,C00046,Motor,Direct - Call Centre,386339,381.36,2023-09-15,Lapsed,2024-12-03
P00599,C00407,Motor,Direct - Call Centre,440636,249.05,2024-11-23,Active,
P00434,C00277,Household Buildings,Broker,2459270,639.88,2023-06-05,Active,
P00679,C00094,Household Buildings,Broker,2897794,445.32,2023-06-10,Lapsed,2024-12-01
P00058,C00137,Household Buildings,Bancassurance,2343812,375.89,2024-06-09,Active,
P00219,C00262,Personal Liability,Broker,1000000,185.42,2026-04-09,Active,
P00712,C00025,Portable Possessions,Direct - Online/App,76564,86.35,2024-03-09,Active,
P00567,C00357,Motor,Broker,129173,85.61,2024-12-25,Active,
P00376,C00340,Portable Possessions,Broker,120608,194.74,2025-04-09,Cancelled,2025-05-30
P00302,C00298,Motor,Direct - Call Centre,328393,293.34,2025-07-02,Active,
P00341,C00082,Household Buildings,Broker,865204,207.83,2023-05-31,Active,
P00055,C00337,Household Buildings,Broker,1975800,480.85,2023-01-21,Active,
P00340,C00313,Motor,Direct - Online/App,155256,163.98,2024-02-26,Active,
P00731,C00255,Portable Possessions,Broker,124425,139.27,2026-03-01,Active,
P00345,C00145,Household Buildings,Broker,2424981,661.78,2023-08-15,Active,
P00478,C00495,Personal Liability,Direct - Online/App,5000000,129.82,2024-02-19,Active,
P00353,C00405,Motor,Direct - Call Centre,87105,81.36,2024-03-03,Active,
P00350,C00348,Motor,Broker,225885,338.69,2024-08-06,Cancelled,2026-06-05
P00690,C00023,Household Buildings,Direct - Online/App,1421393,357.85,2026-01-25,Active,
P00724,C00226,Motor,Broker,314899,392.33,2025-03-30,Active,
P00394,C00330,Portable Possessions,Broker,39900,65.61,2026-03-07,Active,
P00432,C00260,Household Buildings,Broker,2564390,833.55,2026-06-12,Active,
P00255,C00390,Motor,Broker,515942,444.0,2023-10-06,Active,
P00475,C00274,Motor,Direct - Online/App,562695,494.52,2025-12-09,Active,
P00054,C00476,Portable Possessions,Broker,121845,148.34,2024-10-21,Lapsed,2026-02-10
P00372,C00077,Household Buildings,Broker,3453822,610.1,2026-03-24,Lapsed,2026-06-02
P00231,C00420,Motor,Direct - Call Centre,460416,440.5,2025-12-30,Cancelled,2026-02-03
P00745,C00309,Motor,Direct - Online/App,451472,508.87,2026-04-24,Active,
P00147,C00168,Household Buildings,Bancassurance,2845771,719.21,2025-07-22,Lapsed,2025-11-14
P00683,C00367,Household Buildings,Broker,1750795,256.4,2024-01-19,Active,
P00643,C00023,Motor,Broker,383113,269.85,2025-03-11,Active,
P00462,C00187,Motor,Broker,153790,119.01,2026-05-23,Active,
P00087,C00233,Portable Possessions,Broker,139456,154.82,2025-06-05,Lapsed,2025-11-17
P00220,C00325,Portable Possessions,Direct - Call Centre,137748,204.49,2025-04-05,Cancelled,2026-01-18
P00743,C00041,Household Buildings,Direct - Call Centre,1733038,540.59,2025-04-08,Active,
P00045,C00393,Motor,Broker,193192,217.69,2024-05-20,Active,
P00175,C00442,Household Buildings,Broker,1148807,349.51,2025-07-16,Active,
P00527,C00263,Motor,Direct - Call Centre,386226,559.89,2023-06-12,Active,
P00532,C00485,Motor,Direct - Online/App,615954,412.5,2023-07-11,Active,
P00140,C00485,Household Buildings,Broker,2678110,584.86,2024-07-08,Active,
P00163,C00413,Motor,Broker,414951,505.44,2023-06-07,Active,
P00433,C00395,Household Contents,Broker,110725,39.67,2026-04-28,Lapsed,2026-07-04
P00421,C00393,Household Buildings,Direct - Online/App,2414861,560.92,2023-08-05,Active,
P00571,C00362,Motor,Broker,200463,296.29,2024-06-11,Active,
P00399,C00344,Personal Liability,Direct - Online/App,2000000,87.55,2024-09-25,Active,
P00281,C00181,Portable Possessions,Broker,26939,44.33,2025-08-16,Active,
P00204,C00224,Motor,Broker,473923,465.1,2025-05-18,Cancelled,2026-01-16
P00010,C00385,Personal Liability,Bancassurance,5000000,181.56,2024-05-23,Active,
P00521,C00043,Portable Possessions,Direct - Online/App,16927,21.45,2024-12-24,Active,
P00720,C00224,Motor,Direct - Call Centre,262248,339.91,2023-05-19,Lapsed,2026-01-01
P00263,C00326,Household Buildings,Direct - Online/App,3304873,678.47,2025-01-26,Active,
P00271,C00226,Household Contents,Broker,614534,286.75,2024-04-06,Active,
P00595,C00025,Motor,Broker,443695,625.3,2023-12-06,Active,
P00164,C00182,Portable Possessions,Broker,76472,119.33,2025-09-26,Active,
P00286,C00232,Household Contents,Broker,147992,66.09,2025-02-28,Active,
P00623,C00214,Motor,Broker,332000,255.21,2024-09-10,Active,
P00356,C00172,Portable Possessions,Broker,54465,69.02,2025-11-21,Active,
P00528,C00076,Personal Liability,Direct - Online/App,2000000,91.62,2025-08-13,Active,
P00496,C00271,Motor,Broker,380031,340.64,2026-04-02,Active,
P00100,C00027,Motor,Broker,414628,386.41,2024-09-04,Active,
P00746,C00422,Household Contents,Broker,154990,61.63,2026-07-05,Active,
P00292,C00040,Motor,Direct - Call Centre,468218,607.4,2026-04-09,Active,
P00412,C00186,Motor,Direct - Call Centre,296599,319.09,2026-06-22,Active,
P00709,C00183,Motor,Direct - Call Centre,374544,262.63,2024-07-21,Active,
P00335,C00363,Household Contents,Broker,303219,77.12,2024-04-05,Active,
P00072,C00290,Personal Liability,Direct - Online/App,2000000,185.22,2026-04-14,Active,
P00167,C00442,Motor,Bancassurance,452626,379.76,2023-06-02,Active,
P00162,C00343,Motor,Broker,457866,283.27,2023-04-02,Active,
P00131,C00158,Motor,Broker,322662,359.57,2024-01-10,Active,
P00137,C00004,Motor,Bancassurance,124367,166.98,2024-03-15,Active,
P00321,C00032,Portable Possessions,Direct - Online/App,87871,76.37,2024-12-09,Active,
P00017,C00148,Household Contents,Direct - Online/App,439983,164.26,2026-04-05,Active,
P00114,C00227,Motor,Broker,456192,558.75,2025-11-23,Active,
P00008,C00341,Household Buildings,Broker,1609454,317.11,2024-03-06,Active,
P00196,C00354,Portable Possessions,Direct - Call Centre,49778,49.34,2026-06-24,Active,
P00678,C00324,Motor,Broker,120083,72.33,2026-04-06,Active,
P00174,C00040,Household Contents,Broker,589951,295.87,2026-04-26,Active,
P00295,C00438,Household Contents,Broker,644041,314.75,2025-05-01,Active,
P00642,C00241,Motor,Broker,330564,421.15,2025-05-05,Active,
P00587,C00271,Portable Possessions,Direct - Online/App,59532,63.77,2025-09-21,Active,
P00068,C00004,Household Buildings,Broker,1368289,397.96,2023-11-08,Active,
P00205,C00302,Household Buildings,Direct - Online/App,2255574,590.84,2025-09-16,Active,
P00626,C00343,Motor,Broker,148729,143.61,2025-11-11,Active,
P00555,C00430,Motor,Direct - Call Centre,314643,216.39,2025-11-05,Active,
P00395,C00406,Personal Liability,Broker,1000000,209.53,2023-10-21,Lapsed,2024-07-29
P00195,C00426,Household Buildings,Direct - Call Centre,1529735,305.69,2025-09-05,Lapsed,2026-05-26
P00305,C00406,Household Contents,Bancassurance,829165,258.23,2023-03-26,Active,
P00529,C00426,Household Contents,Broker,787002,279.09,2023-08-28,Active,
P00669,C00417,Motor,Direct - Call Centre,249811,155.92,2026-05-13,Active,
P00200,C00224,Motor,Broker,564923,352.42,2023-11-06,Active,
P00437,C00453,Household Buildings,Broker,1164602,250.12,2025-04-03,Active,
P00347,C00210,Motor,Broker,557931,629.61,2023-12-27,Active,
P00004,C00063,Household Buildings,Direct - Call Centre,1981016,648.32,2024-11-25,Active,
P00377,C00073,Household Contents,Direct - Call Centre,378987,131.15,2025-11-01,Active,
P00277,C00408,Household Contents,Broker,466188,119.7,2026-03-10,Active,
P00267,C00498,Personal Liability,Direct - Call Centre,1000000,86.79,2024-03-06,Lapsed,2025-11-22
P00629,C00500,Household Buildings,Direct - Online/App,2649996,489.53,2024-02-24,Active,
P00230,C00491,Motor,Bancassurance,600591,353.59,2025-08-16,Active,
