payment_id,policy_id,billing_month,premium_due,amount_paid,payment_status
PM0005824,P00306,2024-06-01,227.92,227.92,Paid
PM0010520,P00538,2025-07-01,199.22,0.0,Missed
PM0011568,P00597,2025-08-01,196.66,196.66,Paid
PM0000687,P00031,2026-05-01,211.73,211.73,Paid
PM0002679,P00134,2025-05-01,195.27,195.27,Paid
PM0009988,P00514,2025-03-01,208.68,208.68,Paid
PM0006554,P00335,2024-12-01,77.12,77.12,Paid
PM0004655,P00244,2025-05-01,138.03,138.03,Paid
PM0014214,P00731,2026-05-01,139.27,139.27,Paid
PM0014109,P00725,2025-04-01,428.12,428.12,Paid
PM0005005,P00263,2025-01-01,678.47,678.47,Paid
PM0011270,P00585,2024-07-01,64.64,64.64,Paid
PM0009243,P00477,2023-11-01,708.84,708.84,Paid
PM0011457,P00593,2024-10-01,142.88,142.88,Paid
PM0014420,P00740,2026-07-01,758.16,758.16,Paid
PM0004644,P00244,2024-06-01,138.03,43.09,Partial
PM0013580,P00696,2025-12-01,104.7,104.7,Paid
PM0011534,P00596,2024-02-01,174.96,174.96,Paid
PM0001229,P00056,2025-03-01,259.01,259.01,Paid
PM0009254,P00477,2024-10-01,708.84,708.84,Paid
PM0000042,P00004,2025-04-01,648.32,648.32,Paid
PM0007493,P00388,2026-02-01,817.88,817.88,Paid
PM0009558,P00491,2025-10-01,236.06,236.06,Paid
PM0008716,P00448,2026-04-01,387.88,387.88,Paid
PM0001234,P00056,2025-08-01,259.01,259.01,Paid
PM0001503,P00069,2024-05-01,143.01,143.01,Paid
PM0011570,P00597,2025-10-01,196.66,196.66,Paid
PM0012596,P00647,2026-01-01,199.76,199.76,Paid
PM0006967,P00356,2025-11-01,69.02,69.02,Paid
PM0009208,P00474,2025-11-01,544.06,544.06,Paid
PM0013876,P00711,2025-01-01,203.34,203.34,Paid
PM0011060,P00571,2024-09-01,296.29,296.29,Paid
PM0013774,P00706,2024-12-01,257.22,257.22,Paid
PM0008204,P00426,2025-12-01,240.12,240.12,Paid
PM0012956,P00665,2026-03-01,506.83,506.83,Paid
PM0012678,P00651,2026-03-01,263.42,0.0,Missed
PM0005386,P00284,2024-12-01,554.65,0.0,Missed
PM0005689,P00302,2026-01-01,293.34,293.34,Paid
PM0012197,P00630,2025-10-01,287.44,287.44,Paid
PM0005565,P00296,2026-04-01,277.13,277.13,Paid
PM0000770,P00035,2025-10-01,139.14,139.14,Paid
PM0001398,P00066,2024-11-01,343.28,343.28,Paid
PM0003363,P00167,2023-12-01,379.76,379.76,Paid
PM0009987,P00514,2025-02-01,208.68,208.68,Paid
PM0010558,P00541,2025-03-01,116.95,116.95,Paid
PM0011703,P00604,2025-10-01,1040.1,1040.1,Paid
PM0004802,P00252,2025-08-01,228.86,228.86,Paid
PM0001913,P00093,2025-06-01,288.37,288.37,Paid
PM0000674,P00031,2025-04-01,211.73,211.73,Paid
PM0012038,P00623,2025-06-01,255.21,255.21,Paid
PM0007602,P00392,2026-07-01,138.49,138.49,Paid
PM0014254,P00733,2026-03-01,118.82,118.82,Paid
PM0004587,P00239,2025-03-01,151.43,151.43,Paid
PM0006357,P00326,2025-06-01,203.51,203.51,Paid
PM0000585,P00027,2023-10-01,65.33,65.33,Paid
PM0006465,P00331,2025-03-01,100.4,100.4,Paid
PM0004979,P00262,2024-06-01,377.63,377.63,Paid
PM0003588,P00181,2025-05-01,134.24,134.24,Paid
PM0008090,P00418,2024-06-01,476.51,476.51,Paid
PM0003924,P00199,2024-04-01,381.36,381.36,Paid
PM0006433,P00328,2025-05-01,68.94,68.94,Paid
PM0008399,P00436,2023-03-01,410.56,410.56,Paid
PM0010058,P00518,2024-09-01,67.39,0.0,Missed
PM0001493,P00069,2023-07-01,143.01,143.01,Paid
PM0012393,P00637,2025-06-01,80.81,80.81,Paid
PM0012008,P00621,2025-07-01,181.36,181.36,Paid
PM0000817,P00037,2025-04-01,530.5,530.5,Paid
PM0001433,P00067,2024-06-01,198.85,198.85,Paid
PM0014316,P00736,2026-04-01,122.83,122.83,Paid
PM0003472,P00171,2025-02-01,608.31,608.31,Paid
PM0013071,P00671,2025-05-01,377.8,377.8,Paid
PM0012070,P00625,2023-08-01,177.27,177.27,Paid
PM0000367,P00018,2025-03-01,131.65,131.65,Paid
PM0000559,P00026,2025-01-01,945.63,945.63,Paid
PM0006442,P00328,2026-02-01,68.94,68.94,Paid
PM0000351,P00018,2023-11-01,131.65,131.65,Paid
PM0001614,P00075,2026-06-01,496.67,393.87,Partial
PM0001898,P00092,2025-07-01,216.63,216.63,Paid
PM0013497,P00693,2024-11-01,313.0,313.0,Paid
PM0013346,P00684,2025-10-01,128.15,128.15,Paid
PM0001330,P00063,2026-02-01,606.65,606.65,Paid
PM0014501,P00747,2023-11-01,149.96,149.96,Paid
PM0000779,P00035,2026-07-01,139.14,139.14,Paid
PM0014124,P00725,2026-07-01,428.12,428.12,Paid
PM0012413,P00638,2025-02-01,297.67,297.67,Paid
PM0012392,P00637,2025-05-01,80.81,80.81,Paid
PM0009400,P00484,2025-11-01,109.09,109.09,Paid
PM0010522,P00538,2025-09-01,199.22,0.0,Missed
PM0005912,P00310,2026-07-01,213.81,0.0,Missed
PM0010186,P00524,2024-09-01,189.03,189.03,Paid
PM0012406,P00637,2026-07-01,80.81,80.81,Paid
PM0003780,P00190,2025-01-01,488.35,488.35,Paid
PM0005089,P00268,2025-11-01,392.66,392.66,Paid
PM0009190,P00473,2025-08-01,102.27,102.27,Paid
PM0011576,P00597,2026-04-01,196.66,196.66,Paid
PM0011643,P00600,2026-07-01,152.1,152.1,Paid
PM0014341,P00738,2024-09-01,544.15,544.15,Paid
PM0001600,P00074,2026-05-01,128.94,0.0,Missed
PM0010529,P00539,2024-10-01,220.03,220.03,Paid
PM0001733,P00080,2024-05-01,493.08,493.08,Paid
PM0001415,P00066,2026-04-01,343.28,343.28,Paid
PM0004686,P00246,2024-06-01,204.0,204.0,Paid
PM0005497,P00290,2026-01-01,564.15,564.15,Paid
PM0012391,P00637,2025-04-01,80.81,80.81,Paid
PM0014387,P00739,2024-12-01,147.41,147.41,Paid
PM0007399,P00381,2026-02-01,137.11,137.11,Paid
PM0009732,P00502,2023-06-01,394.36,394.36,Paid
PM0010664,P00545,2024-09-01,191.08,191.08,Paid
PM0012612,P00649,2024-06-01,246.64,246.64,Paid
PM0010847,P00554,2025-11-01,46.23,46.23,Paid
PM0008724,P00449,2024-02-01,33.62,33.62,Paid
PM0009156,P00472,2025-08-01,256.58,256.58,Paid
PM0003970,P00202,2025-09-01,179.65,179.65,Paid
PM0004414,P00229,2024-10-01,486.41,486.41,Paid
PM0010563,P00541,2025-08-01,116.95,116.95,Paid
PM0000440,P00021,2025-01-01,195.65,195.65,Paid
PM0014073,P00723,2025-09-01,242.27,242.27,Paid
PM0010376,P00532,2026-01-01,412.5,412.5,Paid
PM0008487,P00438,2025-10-01,374.73,374.73,Paid
PM0000432,P00021,2024-05-01,195.65,195.65,Paid
PM0003367,P00167,2024-04-01,379.76,0.0,Missed
PM0008753,P00449,2026-07-01,33.62,33.62,Paid
PM0013791,P00706,2026-05-01,257.22,257.22,Paid
PM0004055,P00208,2025-12-01,180.53,0.0,Missed
PM0003659,P00183,2025-02-01,179.81,0.0,Missed
PM0011295,P00587,2025-12-01,63.77,63.77,Paid
PM0013320,P00683,2026-07-01,256.4,256.4,Paid
PM0011632,P00599,2025-09-01,249.05,249.05,Paid
PM0004882,P00257,2024-01-01,229.95,229.95,Paid
PM0005999,P00313,2026-06-01,251.91,251.91,Paid
PM0005546,P00295,2025-10-01,314.75,314.75,Paid
PM0011197,P00580,2026-05-01,140.73,140.73,Paid
PM0000419,P00020,2024-12-01,573.96,573.96,Paid
PM0002947,P00147,2025-11-01,719.21,719.21,Paid
PM0007109,P00365,2025-10-01,75.89,59.29,Partial
PM0001609,P00075,2026-01-01,496.67,496.67,Paid
PM0012013,P00621,2025-12-01,181.36,181.36,Paid
PM0004148,P00211,2026-03-01,481.39,481.39,Paid
PM0008883,P00454,2026-05-01,258.55,258.55,Paid
PM0001345,P00065,2023-08-01,174.21,174.21,Paid
PM0007453,P00385,2025-03-01,183.7,183.7,Paid
PM0011747,P00608,2024-09-01,73.34,73.34,Paid
PM0009309,P00479,2025-11-01,106.47,106.47,Paid
PM0004117,P00211,2023-08-01,481.39,481.39,Paid
PM0010589,P00542,2025-04-01,177.89,177.89,Paid
PM0007183,P00370,2025-11-01,138.19,138.19,Paid
PM0006598,P00337,2024-11-01,119.24,119.24,Paid
PM0003814,P00191,2024-06-01,295.15,295.15,Paid
PM0002086,P00102,2025-11-01,406.58,406.58,Paid
PM0013218,P00677,2025-12-01,138.01,138.01,Paid
PM0006799,P00347,2024-03-01,629.61,0.0,Missed
PM0005980,P00312,2025-07-01,199.07,199.07,Paid
PM0002042,P00100,2025-02-01,386.41,386.41,Paid
PM0001512,P00069,2025-02-01,143.01,143.01,Paid
PM0007942,P00411,2026-07-01,189.15,189.15,Paid
PM0000583,P00027,2023-08-01,65.33,0.0,Missed
PM0014556,P00749,2025-01-01,243.11,243.11,Paid
PM0013137,P00674,2024-08-01,176.2,176.2,Paid
PM0012118,P00627,2024-08-01,193.55,193.55,Paid
PM0011071,P00571,2025-08-01,296.29,296.29,Paid
PM0004135,P00211,2025-02-01,481.39,481.39,Paid
PM0004610,P00241,2024-10-01,232.67,232.67,Paid
PM0007435,P00384,2025-09-01,545.23,386.02,Partial
PM0010918,P00562,2024-03-01,285.53,285.53,Paid
PM0013810,P00708,2025-02-01,180.72,180.72,Paid
PM0010796,P00551,2025-09-01,211.89,126.25,Partial
PM0001548,P00071,2025-08-01,410.51,410.51,Paid
PM0011217,P00581,2026-01-01,101.16,101.16,Paid
PM0007992,P00414,2026-07-01,136.66,136.66,Paid
PM0000084,P00007,2025-01-01,495.09,495.09,Paid
PM0003283,P00163,2025-05-01,505.44,505.44,Paid
PM0007510,P00389,2024-04-01,270.03,270.03,Paid
PM0000826,P00037,2026-01-01,530.5,530.5,Paid
PM0013597,P00697,2026-01-01,206.98,0.0,Missed
PM0011972,P00619,2025-02-01,377.2,377.2,Paid
PM0005973,P00312,2024-12-01,199.07,199.07,Paid
PM0005590,P00298,2025-07-01,169.76,0.0,Missed
PM0000941,P00043,2026-07-01,536.29,536.29,Paid
PM0012112,P00626,2026-05-01,143.61,143.61,Paid
PM0004165,P00214,2025-03-01,377.99,377.99,Paid
PM0000584,P00027,2023-09-01,65.33,0.0,Missed
PM0009870,P00509,2023-08-01,191.4,191.4,Paid
PM0007055,P00362,2025-03-01,341.2,341.2,Paid
PM0009142,P00471,2026-01-01,337.78,337.78,Paid
PM0003652,P00183,2024-07-01,179.81,179.81,Paid
PM0004553,P00236,2026-01-01,768.82,442.12,Partial
PM0007903,P00410,2025-03-01,156.23,156.23,Paid
PM0013331,P00684,2024-07-01,128.15,128.15,Paid
PM0003087,P00154,2026-02-01,311.67,101.03,Partial
PM0012323,P00635,2023-10-01,102.05,0.0,Missed
PM0007023,P00360,2025-03-01,259.6,259.6,Paid
PM0004445,P00230,2026-05-01,353.59,353.59,Paid
PM0012307,P00634,2024-08-01,347.04,347.04,Paid
PM0001977,P00096,2025-06-01,408.72,408.72,Paid
PM0000098,P00007,2026-03-01,495.09,495.09,Paid
PM0014498,P00747,2023-08-01,149.96,149.96,Paid
PM0009624,P00494,2026-05-01,666.1,666.1,Paid
PM0006527,P00334,2025-01-01,525.35,525.35,Paid
PM0006811,P00347,2025-03-01,629.61,629.61,Paid
PM0000429,P00021,2024-02-01,195.65,195.65,Paid
PM0006850,P00349,2026-01-01,354.57,354.57,Paid
PM0003466,P00171,2024-08-01,608.31,608.31,Paid
PM0010926,P00562,2024-11-01,285.53,285.53,Paid
PM0010294,P00529,2023-10-01,279.09,279.09,Paid
PM0013878,P00711,2025-03-01,203.34,203.34,Paid
PM0013931,P00713,2026-01-01,694.25,694.25,Paid
PM0009638,P00495,2024-10-01,179.38,179.38,Paid
PM0005886,P00309,2024-09-01,396.29,396.29,Paid
PM0005887,P00309,2024-10-01,396.29,0.0,Missed
PM0010423,P00535,2024-03-01,145.59,145.59,Paid
PM0005361,P00283,2025-12-01,36.5,36.5,Paid
PM0012398,P00637,2025-11-01,80.81,80.81,Paid
PM0003642,P00183,2023-09-01,179.81,179.81,Paid
PM0008849,P00453,2026-07-01,685.23,685.23,Paid
PM0013196,P00676,2025-12-01,349.53,349.53,Paid
PM0004119,P00211,2023-10-01,481.39,481.39,Paid
PM0008160,P00423,2024-08-01,121.63,121.63,Paid
PM0013962,P00715,2026-01-01,259.73,259.73,Paid
PM0012675,P00651,2025-12-01,263.42,263.42,Paid
PM0001560,P00072,2026-07-01,185.22,185.22,Paid
PM0014055,P00722,2026-06-01,189.68,189.68,Paid
PM0005073,P00267,2024-10-01,86.79,32.85,Partial
PM0009045,P00468,2024-11-01,439.51,439.51,Paid
PM0011225,P00583,2024-06-01,68.95,68.95,Paid
PM0013348,P00684,2025-12-01,128.15,128.15,Paid
PM0013525,P00695,2023-09-01,547.06,547.06,Paid
PM0010666,P00545,2024-11-01,191.08,133.76,Partial
PM0003158,P00158,2025-03-01,516.23,411.41,Partial
PM0009912,P00510,2025-06-01,375.08,375.08,Paid
PM0010595,P00542,2025-10-01,177.89,0.0,Missed
PM0000132,P00009,2024-02-01,281.25,281.25,Paid
PM0012864,P00660,2026-02-01,245.23,245.23,Paid
PM0013688,P00701,2025-12-01,331.54,331.54,Paid
PM0000937,P00043,2026-03-01,536.29,0.0,Missed
PM0013524,P00695,2023-08-01,547.06,547.06,Paid
PM0007330,P00378,2026-07-01,521.31,521.31,Paid
PM0004837,P00254,2026-01-01,311.13,311.13,Paid
PM0006006,P00314,2024-10-01,212.52,212.52,Paid
PM0001925,P00093,2026-06-01,288.37,288.37,Paid
PM0001265,P00058,2025-04-01,375.89,375.89,Paid
PM0008172,P00423,2025-08-01,121.63,121.63,Paid
PM0005568,P00296,2026-07-01,277.13,277.13,Paid
PM0004319,P00224,2026-06-01,642.21,642.21,Paid
PM0003104,P00156,2023-04-01,231.94,231.94,Paid
PM0005145,P00271,2025-12-01,286.75,286.75,Paid
PM0002636,P00132,2026-01-01,323.1,210.31,Partial
PM0003442,P00170,2025-03-01,388.44,388.44,Paid
PM0013734,P00704,2025-04-01,243.78,243.78,Paid
PM0002103,P00103,2024-03-01,836.1,836.1,Paid
PM0013866,P00710,2026-07-01,153.73,153.73,Paid
PM0006785,P00345,2025-11-01,661.78,661.78,Paid
PM0012264,P00632,2025-10-01,213.13,213.13,Paid
PM0013266,P00682,2024-08-01,511.43,511.43,Paid
PM0003351,P00166,2026-02-01,263.35,263.35,Paid
PM0005841,P00306,2025-11-01,227.92,227.92,Paid
PM0004450,P00231,2026-02-01,440.5,440.5,Paid
PM0005751,P00304,2025-05-01,134.64,134.64,Paid
PM0005613,P00299,2025-07-01,121.63,121.63,Paid
PM0014291,P00736,2024-03-01,122.83,122.83,Paid
PM0010458,P00536,2025-05-01,0.0,0.0,Paid
PM0014484,P00744,2024-08-01,326.31,326.31,Paid
PM0013803,P00707,2026-07-01,442.88,442.88,Paid
PM0006416,P00328,2023-12-01,68.94,68.94,Paid
PM0014020,P00720,2025-08-01,339.91,339.91,Paid
PM0000703,P00032,2025-03-01,457.22,457.22,Paid
PM0006008,P00314,2024-12-01,212.52,212.52,Paid
PM0003849,P00194,2024-02-01,765.13,765.13,Paid
PM0006429,P00328,2025-01-01,68.94,68.94,Paid
PM0008247,P00428,2024-03-01,71.98,71.98,Paid
PM0014497,P00746,2026-07-01,61.63,61.63,Paid
PM0003041,P00152,2023-11-01,108.42,68.97,Partial
PM0001027,P00046,2025-11-01,408.98,408.98,Paid
PM0003742,P00186,2025-05-01,100.78,100.78,Paid
PM0003753,P00186,2026-04-01,100.78,100.78,Paid
PM0008057,P00417,2025-02-01,219.24,219.24,Paid
PM0006886,P00351,2024-02-01,467.05,467.05,Paid
PM0012076,P00625,2024-02-01,177.27,177.27,Paid
PM0014392,P00739,2025-05-01,147.41,109.24,Partial
PM0005593,P00298,2025-10-01,169.76,169.76,Paid
PM0012336,P00635,2024-11-01,102.05,102.05,Paid
PM0006232,P00322,2023-06-01,105.73,105.73,Paid
PM0002938,P00146,2026-03-01,251.37,251.37,Paid
PM0005940,P00311,2025-07-01,179.72,179.72,Paid
PM0002910,P00145,2024-10-01,294.38,294.38,Paid
PM0000663,P00031,2024-05-01,211.73,211.73,Paid
PM0005063,P00266,2026-05-01,547.51,547.51,Paid
PM0013079,P00671,2026-01-01,377.8,377.8,Paid
PM0007785,P00402,2026-04-01,234.54,234.54,Paid
PM0007482,P00387,2025-09-01,344.41,344.41,Paid
PM0003185,P00159,2025-11-01,121.97,121.97,Paid
PM0001468,P00068,2024-08-01,397.96,397.96,Paid
PM0005583,P00297,2026-05-01,254.69,254.69,Paid
PM0009378,P00483,2025-04-01,149.54,0.0,Missed
PM0008688,P00446,2025-01-01,130.98,0.0,Missed
PM0000316,P00016,2024-08-01,180.43,180.43,Paid
PM0003064,P00152,2025-10-01,108.42,108.42,Paid
PM0004813,P00252,2026-07-01,228.86,228.86,Paid
PM0008081,P00418,2023-09-01,476.51,476.51,Paid
PM0002832,P00140,2026-05-01,584.86,584.86,Paid
PM0006407,P00327,2026-07-01,428.66,428.66,Paid
PM0011257,P00584,2024-11-01,447.73,447.73,Paid
PM0010181,P00524,2024-04-01,189.03,189.03,Paid
PM0009515,P00488,2026-03-01,253.1,121.77,Partial
PM0009495,P00487,2025-12-01,378.75,378.75,Paid
PM0006900,P00351,2025-04-01,467.05,467.05,Paid
PM0005345,P00282,2026-02-01,396.55,396.55,Paid
PM0012296,P00634,2023-09-01,347.04,347.04,Paid
PM0000799,P00037,2023-10-01,530.5,530.5,Paid
PM0005909,P00310,2026-04-01,213.81,213.81,Paid
PM0014196,P00730,2025-04-01,362.64,202.6,Partial
PM0010463,P00536,2025-10-01,0.0,0.0,Paid
PM0013768,P00706,2024-06-01,257.22,257.22,Paid
PM0006724,P00343,2024-10-01,97.41,97.41,Paid
PM0011681,P00603,2026-02-01,274.0,274.0,Paid
PM0000656,P00028,2026-06-01,101.58,101.58,Paid
PM0011639,P00599,2026-04-01,249.05,249.05,Paid
PM0011108,P00573,2026-06-01,408.13,408.13,Paid
PM0001975,P00096,2025-04-01,408.72,408.72,Paid
PM0008390,P00435,2024-04-01,160.67,160.67,Paid
PM0005069,P00267,2024-06-01,86.79,86.79,Paid
PM0002562,P00130,2025-12-01,248.96,248.96,Paid
PM0007862,P00408,2024-07-01,137.55,137.55,Paid
PM0005080,P00267,2025-05-01,86.79,86.79,Paid
PM0009688,P00498,2026-05-01,514.18,514.18,Paid
PM0013349,P00684,2026-01-01,128.15,128.15,Paid
PM0012964,P00666,2026-01-01,72.37,0.0,Missed
PM0001722,P00079,2026-03-01,234.25,234.25,Paid
PM0003402,P00168,2025-01-01,236.69,236.69,Paid
PM0014376,P00739,2024-01-01,147.41,147.41,Paid
PM0011641,P00599,2026-06-01,249.05,249.05,Paid
PM0002613,P00132,2024-02-01,323.1,323.1,Paid
PM0009906,P00510,2024-12-01,375.08,375.08,Paid
PM0005081,P00267,2025-06-01,86.79,86.79,Paid
PM0004101,P00210,2025-10-01,422.89,422.89,Paid
PM0001599,P00074,2026-04-01,128.94,128.94,Paid
PM0011040,P00570,2025-03-01,159.96,159.96,Paid
PM0010734,P00549,2024-01-01,54.97,54.97,Paid
PM0008400,P00436,2023-04-01,410.56,410.56,Paid
PM0007613,P00393,2025-10-01,834.88,834.88,Paid
PM0001364,P00065,2025-03-01,174.21,174.21,Paid
PM0013031,P00668,2026-02-01,75.59,75.59,Paid
PM0008556,P00442,2024-05-01,89.15,89.15,Paid
PM0002966,P00148,2025-06-01,62.38,62.38,Paid
PM0010437,P00535,2025-05-01,145.59,145.59,Paid
PM0007325,P00378,2026-02-01,521.31,521.31,Paid
PM0001339,P00064,2026-02-01,0.0,0.0,Paid
PM0003579,P00179,2026-07-01,431.41,431.41,Paid
PM0001848,P00085,2026-07-01,176.78,176.78,Paid
PM0004344,P00226,2023-08-01,719.63,719.63,Paid
PM0007683,P00397,2025-08-01,230.57,230.57,Paid
PM0001800,P00083,2026-06-01,221.46,221.46,Paid
PM0002075,P00102,2024-12-01,406.58,406.58,Paid
PM0006197,P00320,2025-06-01,149.0,149.0,Paid
PM0005756,P00304,2025-10-01,134.64,0.0,Missed
PM0003164,P00158,2025-09-01,516.23,516.23,Paid
PM0006675,P00341,2024-02-01,207.83,207.83,Paid
PM0007665,P00396,2026-05-01,555.67,555.67,Paid
PM0003773,P00190,2024-06-01,488.35,488.35,Paid
PM0008346,P00433,2026-06-01,39.67,39.67,Paid
PM0012988,P00667,2026-02-01,232.57,232.57,Paid
PM0009360,P00483,2023-10-01,149.54,149.54,Paid
PM0007061,P00362,2025-09-01,341.2,341.2,Paid
PM0009154,P00472,2025-06-01,256.58,256.58,Paid
PM0009693,P00499,2025-12-01,37.36,37.36,Paid
PM0014480,P00744,2024-04-01,326.31,326.31,Paid
PM0011284,P00585,2025-09-01,64.64,64.64,Paid
PM0008749,P00449,2026-03-01,33.62,33.62,Paid
PM0003012,P00150,2025-03-01,66.26,66.26,Paid
PM0012221,P00631,2025-08-01,315.0,0.0,Missed
PM0004448,P00231,2025-12-01,440.5,440.5,Paid
PM0013177,P00676,2024-05-01,349.53,349.53,Paid
PM0011146,P00577,2026-03-01,140.41,140.41,Paid
PM0007014,P00359,2026-01-01,394.21,394.21,Paid
PM0007011,P00359,2025-10-01,394.21,394.21,Paid
PM0001970,P00096,2024-11-01,408.72,408.72,Paid
PM0007791,P00403,2025-07-01,137.28,137.28,Paid
PM0004473,P00232,2025-05-01,449.75,0.0,Missed
PM0005325,P00281,2026-07-01,44.33,44.33,Paid
PM0014089,P00724,2025-08-01,392.33,392.33,Paid
PM0010169,P00523,2025-04-01,185.15,185.15,Paid
PM0002169,P00107,2023-10-01,275.31,275.31,Paid
PM0012804,P00657,2024-11-01,126.71,126.71,Paid
PM0011496,P00594,2026-05-01,182.88,182.88,Paid
PM0000832,P00037,2026-07-01,530.5,369.39,Partial
PM0005577,P00297,2025-11-01,254.69,254.69,Paid
PM0004379,P00226,2026-07-01,719.63,719.63,Paid
PM0013904,P00713,2023-10-01,694.25,694.25,Paid
PM0003778,P00190,2024-11-01,488.35,488.35,Paid
PM0003081,P00154,2025-08-01,311.67,311.67,Paid
PM0005146,P00271,2026-01-01,286.75,286.75,Paid
PM0010827,P00552,2025-12-01,1031.65,1031.65,Paid
PM0009646,P00495,2025-06-01,179.38,179.38,Paid
PM0006989,P00358,2026-03-01,60.83,60.83,Paid
PM0013082,P00671,2026-04-01,377.8,377.8,Paid
PM0010274,P00527,2026-02-01,559.89,559.89,Paid
PM0012047,P00623,2026-03-01,255.21,255.21,Paid
