claim_id,policy_id,claim_date,cause_of_loss,claim_amount,claim_status,paid_amount
CL000202,P00407,2026-03-04,Third Party Injury,7305.19,Approved,7305.19
CL000038,P00068,2026-06-03,Fire,2581.74,Approved,2581.74
CL000007,P00012,2026-05-22,Accidental Damage,7340.47,Approved,7340.47
CL000145,P00304,2025-11-09,Fire,3329.99,Approved,3329.99
CL000359,P00691,2026-06-20,Water Damage,2272.44,Approved,2272.44
CL000379,P00727,2025-09-24,Theft of Vehicle,3956.96,Approved,3956.96
CL000370,P00706,2024-12-26,Water Damage,419.36,Repudiated,0.0
CL000001,P00005,2025-06-23,Collision,9735.91,Approved,9735.91
CL000252,P00497,2026-07-25,Fire,4939.92,Approved,4939.92
CL000344,P00675,2025-07-16,Windscreen,3828.24,Approved,3828.24
CL000256,P00509,2025-08-03,Third Party Injury,1165.98,Repudiated,0.0
CL000013,P00026,2025-06-29,Hail Damage,7321.52,Repudiated,0.0
CL000223,P00452,2024-12-18,Fire,1868.13,Approved,1868.13
CL000346,P00677,2026-06-04,Accidental Damage,479.74,Approved,479.74
CL000015,P00030,2026-07-23,Hijacking,6258.08,Repudiated,0.0
CL000153,P00315,2023-12-22,Third Party Damage,8710.25,Approved,8710.25
CL000191,P00384,2025-09-09,Third Party Damage,4471.25,Approved,4471.25
CL000208,P00420,2026-05-23,Power Surge,710.51,Repudiated,0.0
CL000082,P00170,2026-03-04,Windscreen,2752.28,Approved,2752.28
CL000136,P00286,2025-10-11,Accidental Damage,579.9,Approved,579.9
CL000321,P00631,2025-06-25,Third Party Damage,1589.36,Approved,1589.36
CL000274,P00553,2026-07-31,Theft of Vehicle,9095.55,Approved,9095.55
CL000382,P00735,2026-06-17,Hijacking,7458.53,Pending,0.0
CL000206,P00412,2026-06-29,Windscreen,1545.78,Pending,0.0
CL000285,P00569,2026-06-28,Accidental Damage,4803.12,Approved,4803.12
CL000251,P00497,2026-07-28,Third Party Damage,5067.06,Approved,5067.06
CL000373,P00707,2026-04-27,Third Party Damage,3458.84,Approved,3458.84
CL000128,P00273,2026-05-28,Collision,3135.4,Rejected,0.0
CL000178,P00365,2025-06-20,Accidental Damage,1161.75,Approved,1161.75
CL000169,P00339,2026-06-19,Hijacking,12670.5,Approved,12670.5
CL000123,P00259,2026-07-14,Hail Damage,1563.6,Rejected,0.0
CL000051,P00095,2026-05-21,Water Damage,761.71,Pending,0.0
CL000348,P00681,2025-03-02,Power Surge,3681.91,Approved,3681.91
CL000306,P00598,2025-05-07,Fire,3910.98,Pending,0.0
CL000294,P00585,2025-05-08,Third Party Damage,7103.69,Approved,7103.69
CL000141,P00295,2025-12-20,Water Damage,719.52,Approved,719.52
CL000281,P00560,2026-03-01,Accidental Damage,855.69,Rejected,0.0
CL000043,P00077,2024-08-03,Loss,2522.84,Approved,2522.84
CL000086,P00178,2024-02-19,Collision,3693.33,Approved,3693.33
CL000229,P00462,2026-06-20,Hijacking,10189.71,Approved,10189.71
CL000070,P00138,2024-12-16,Subsidence,10410.28,Pending,0.0
CL000290,P00576,2026-02-11,Fire,4185.1,Approved,4185.1
CL000177,P00365,2025-03-30,Theft/Burglary,1470.13,Approved,1470.13
CL000264,P00532,2024-09-28,Hail Damage,9456.09,Pending,0.0
CL000201,P00407,2025-12-19,Third Party Property Damage,3994.67,Approved,3994.67
CL000088,P00180,2026-03-18,Fire,15442.83,Approved,15442.83
CL000150,P00308,2025-07-17,Water Damage,6184.88,Approved,6184.88
CL000302,P00594,2025-09-11,Third Party Property Damage,3404.42,Rejected,0.0
CL000079,P00160,2024-08-21,Subsidence,30851.39,Rejected,0.0
CL000072,P00139,2024-05-09,Hail Damage,5721.89,Repudiated,0.0
CL000214,P00429,2025-11-29,Storm/Wind Damage,,Approved,60128.24
CL000342,P00675,2025-10-10,Windscreen,8885.36,Approved,8885.36
CL000044,P00079,2025-05-27,Power Surge,173.39,Approved,173.39
CL000390,P00745,2026-07-08,Hijacking,3981.46,Approved,3981.46
CL000215,P00429,2025-02-09,Subsidence,20126.25,Rejected,0.0
CL000065,P00130,2026-07-11,Theft of Vehicle,7705.66,Rejected,0.0
CL000312,P00615,2026-04-03,Hijacking,9953.47,Approved,9953.47
CL000138,P00294,2026-03-24,Flood/Water Damage,82220.25,Approved,82220.25
CL000235,P00470,2026-03-16,Windscreen,3250.43,Approved,3250.43
CL000297,P00587,2025-10-01,Theft,1718.84,Approved,1718.84
CL000317,P00622,2026-01-27,Third Party Property Damage,3510.11,Approved,3510.11
CL000126,P00264,2026-03-30,Theft,853.79,Pending,0.0
CL000125,P00264,2025-12-18,Loss,3194.87,Approved,3194.87
CL000273,P00553,2026-07-31,Theft of Vehicle,2969.8,Approved,2969.8
CL000314,P00616,2025-01-26,Collision,3043.52,Approved,3043.52
CL000167,P00337,2025-11-01,Power Surge,1794.21,Approved,1794.21
CL000140,P00295,2025-09-21,Theft/Burglary,547.61,Rejected,0.0
CL000350,P00683,2026-05-03,Storm/Wind Damage,13063.98,Rejected,0.0
CL000042,P00071,2026-03-28,Third Party Damage,5638.82,Approved,5638.82
CL000303,P00594,2025-10-31,Third Party Property Damage,10003.71,Approved,10003.71
CL000017,P00034,2026-04-26,Accidental Damage,1753.31,Approved,1753.31
CL000093,P00192,2026-06-02,Third Party Damage,7909.57,Approved,7909.57
CL000189,P00382,2025-07-29,Fire,11323.48,Approved,11323.48
CL000068,P00136,2025-09-04,Hijacking,9552.68,Approved,9552.68
CL000253,P00502,2025-05-11,Hail Damage,9631.14,Approved,9631.14
CL000335,P00655,2025-05-13,Hail Damage,5433.05,Approved,5433.05
CL000308,P00608,2025-10-06,Accidental Damage,2196.84,Approved,2196.84
CL000331,P00651,2026-04-09,Theft of Vehicle,5809.23,Approved,5809.23
CL000277,P00556,2026-02-24,Fire,13940.34,Rejected,0.0
CL000228,P00462,2026-07-17,Third Party Damage,3784.16,Approved,3784.16
CL000385,P00739,2025-09-12,Theft,854.19,Approved,854.19
CL000102,P00221,2023-09-13,Storm/Wind Damage,4368.23,Approved,4368.23
CL000030,P00051,2025-12-21,Hijacking,8041.89,Approved,8041.89
CL000322,P00632,2023-10-23,Third Party Injury,1287.82,Rejected,0.0
CL000181,P00368,2026-05-23,Malicious Damage,54238.47,Pending,0.0
CL000049,P00087,2025-09-09,Loss,975.87,Approved,975.87
CL000284,P00569,2026-06-12,Power Surge,12091.25,Approved,12091.25
CL000266,P00532,2024-06-15,Windscreen,4182.62,Approved,4182.62
CL000210,P00425,2026-07-14,Third Party Injury,6125.0,Approved,245.0
CL000286,P00571,2025-10-12,Collision,7588.52,Repudiated,0.0
CL000076,P00155,2026-03-19,Third Party Damage,8423.01,Approved,8423.01
CL000008,P00018,2024-05-28,Third Party Property Damage,5003.69,Approved,5003.69
CL000107,P00226,2025-02-20,Flood/Water Damage,10308.7,Approved,10308.7
CL000250,P00496,2026-04-14,Hail Damage,3363.05,Approved,3363.05
CL000045,P00082,2026-07-06,Windscreen,11987.28,Approved,11987.28
CL000196,P00400,2024-02-11,Loss,716.78,Approved,716.78
CL000305,P00598,2023-10-25,Hail Damage,1706.07,Repudiated,0.0
CL000340,P00674,2025-11-07,Loss,930.19,Approved,930.19
CL000012,P00025,2024-12-29,Third Party Property Damage,3905.95,Repudiated,0.0
CL000323,P00632,2025-05-08,Third Party Injury,4710.44,Approved,4710.44
CL000151,P00308,2025-07-12,Accidental Damage,256.88,Repudiated,0.0
CL000127,P00269,2026-05-06,Fire,3242.39,Rejected,0.0
CL000168,P00339,2026-07-16,Theft of Vehicle,5293.93,Approved,5293.93
CL000004,P00009,2025-03-02,Power Surge,1971.84,Approved,1971.84
CL000388,P00741,2025-08-14,Fire,5068.92,Pending,0.0
CL000378,P00726,2026-04-20,Hail Damage,7004.25,Approved,7004.25
CL000258,P00511,2026-01-31,Third Party Property Damage,4425.3,Rejected,0.0
CL000351,P00683,2025-02-01,Malicious Damage,13096.77,Repudiated,0.0
CL000371,P00707,2026-04-26,Windscreen,14756.27,Approved,14756.27
CL000265,P00532,2024-11-07,Hail Damage,9091.62,Approved,9091.62
CL000237,P00474,2026-02-04,Fire,14850.42,Approved,14850.42
CL000187,P00382,2025-06-25,Windscreen,1866.63,Approved,1866.63
CL000203,P00409,2026-05-03,Third Party Property Damage,1067.12,Approved,1067.12
CL000052,P00096,2024-04-07,Windscreen,5620.8,Repudiated,0.0
CL000081,P00167,2024-04-09,Fire,3934.22,Repudiated,0.0
CL000100,P00209,2025-06-15,Accidental Damage,2229.33,Approved,2229.33
CL000019,P00035,2025-06-30,Third Party Property Damage,9613.65,Repudiated,0.0
CL000387,P00740,2025-12-07,Theft of Vehicle,859.8,Repudiated,0.0
CL000329,P00645,2024-09-09,Third Party Injury,2758.41,Approved,2758.41
CL000192,P00390,2025-01-23,Third Party Damage,918.32,Approved,918.32
CL000316,P00622,2026-06-29,Third Party Injury,4814.45,Approved,4814.45
CL000084,P00171,2025-01-31,Hail Damage,13140.29,Approved,13140.29
CL000035,P00059,2026-04-15,Third Party Damage,21216.25,Approved,21216.25
CL000032,P00054,2025-06-23,Theft,2064.56,Approved,2064.56
CL000062,P00122,2026-05-02,Windscreen,11454.77,Rejected,0.0
CL000024,P00045,2025-02-26,Hijacking,3925.96,Approved,3925.96
CL000338,P00662,2025-11-25,Flood/Water Damage,9393.6,Approved,9393.6
CL000048,P00086,2025-02-08,Third Party Injury,16149.83,Approved,16149.83
CL000078,P00157,2024-08-11,Hijacking,9439.8,Approved,9439.8
CL000194,P00393,2026-03-30,Fire,31377.85,Approved,31377.85
CL000368,P00705,2025-10-15,Theft/Burglary,2285.74,Approved,2285.74
CL000176,P00361,2025-02-26,Accidental Damage,204.24,Approved,204.24
CL000268,P00537,2024-01-13,Collision,23340.13,Rejected,0.0
CL000360,P00692,2025-09-30,Third Party Damage,3883.65,Pending,0.0
CL000089,P00181,2026-02-26,Accidental Damage,976.79,Repudiated,0.0
CL000283,P00569,2026-07-29,Water Damage,8510.19,Approved,8510.19
CL000248,P00491,2026-03-26,Theft/Burglary,1354.52,Approved,1354.52
CL000069,P00138,2025-01-08,Flood/Water Damage,23906.19,Approved,23906.19
CL000054,P00105,2026-06-02,Water Damage,714.16,Approved,714.16
CL000039,P00068,2025-01-06,Flood/Water Damage,27401.83,Approved,27401.83
CL000025,P00046,2026-02-19,Hijacking,2625.85,Pending,0.0
CL000267,P00535,2026-02-02,Water Damage,3046.87,Rejected,0.0
CL000057,P00116,2024-10-11,Fire,3996.06,Approved,3996.06
CL000280,P00559,2026-07-27,Hail Damage,5841.12,Approved,5841.12
CL000318,P00622,2026-03-02,Third Party Property Damage,795.65,Approved,795.65
CL000227,P00459,2024-03-02,Windscreen,9029.96,Approved,9029.96
CL000104,P00222,2025-06-05,Theft,224.1,Rejected,0.0
CL000367,P00705,2026-01-05,Power Surge,1144.11,Approved,1144.11
CL000375,P00716,2025-12-28,Third Party Injury,3550.96,Approved,3550.96
CL000291,P00579,2023-04-02,Windscreen,991.83,Repudiated,0.0
CL000162,P00328,2024-01-26,Theft,1438.19,Approved,1438.19
CL000118,P00250,2025-02-10,Collision,166.09,Pending,0.0
CL000334,P00654,2025-05-31,Third Party Damage,2599.53,Approved,2599.53
CL000263,P00530,2026-07-17,Malicious Damage,14413.96,Pending,0.0
CL000158,P00321,2026-02-04,Theft,4648.58,Approved,4648.58
CL000231,P00465,2026-07-29,Storm/Wind Damage,19254.23,Approved,19254.23
CL000244,P00485,2026-04-20,Hail Damage,7384.26,Approved,7384.26
CL000299,P00591,2026-01-26,Collision,6154.73,Approved,6154.73
CL000033,P00056,2025-02-06,Collision,926.61,Approved,926.61
CL000349,P00683,2025-05-28,Malicious Damage,6482.87,Approved,6482.87
CL000152,P00311,2024-10-26,Theft,811.62,Repudiated,0.0
CL000272,P00551,2026-03-22,Third Party Property Damage,3047.94,Approved,3047.94
CL000005,P00010,2026-07-07,Third Party Property Damage,67.06,Approved,67.06
CL000287,P00572,2024-08-22,Third Party Damage,6508.72,Approved,6508.72
CL000064,P00124,2026-06-29,Windscreen,12353.87,Approved,12353.87
CL000221,P00448,2026-03-19,Hail Damage,14816.73,Approved,14816.73
CL000134,P00280,2025-09-12,Hail Damage,12769.17,Approved,12769.17
CL000341,P00674,2024-01-13,Theft,323.99,Approved,323.99
CL000211,P00426,2025-01-15,Third Party Damage,2970.48,Approved,2970.48
CL000095,P00194,2025-01-02,Third Party Damage,4312.27,Pending,0.0
CL000243,P00483,2023-09-01,Power Surge,389.47,Pending,0.0
CL000232,P00466,2024-10-13,Hail Damage,1874.3,Rejected,0.0
CL000269,P00538,2025-04-05,Collision,4359.77,Repudiated,0.0
CL000288,P00574,2026-07-03,Collision,383.65,Approved,383.65
CL000011,P00023,2024-02-20,Hail Damage,10066.78,Pending,0.0
CL000165,P00335,2024-11-18,Power Surge,1050.96,Approved,1050.96
CL000309,P00611,2025-05-16,Windscreen,3261.5,Approved,3261.5
CL000276,P00554,2025-05-25,Power Surge,1392.74,Approved,1392.74
CL000175,P00358,2026-04-06,Fire,25600.0,Rejected,0.0
CL000014,P00029,2026-05-25,Theft,14456.75,Pending,0.0
CL000190,P00383,2025-10-26,Theft/Burglary,7224.11,Pending,0.0
CL000037,P00067,2025-08-12,Water Damage,4182.39,Rejected,0.0
CL000056,P00110,2023-12-15,Fire,18166.14,Approved,18166.14
CL000130,P00277,2026-06-12,Power Surge,1033.43,Approved,1033.43
CL000186,P00381,2026-03-21,Accidental Damage,1525.15,Approved,1525.15
CL000271,P00546,2026-06-27,Fire,,Approved,3131.47
CL000293,P00583,2025-06-21,Accidental Damage,1669.08,Approved,1669.08
CL000170,P00345,2025-12-31,Malicious Damage,28408.53,Approved,28408.53
CL000137,P00287,2025-07-23,Theft/Burglary,26272.250000000004,Approved,1050.89
CL000324,P00635,2023-12-22,Fire,5815.92,Rejected,0.0
CL000298,P00588,2024-06-06,Subsidence,12313.75,Approved,12313.75
CL000099,P00207,2024-12-26,Third Party Injury,11016.99,Pending,0.0
CL000067,P00134,2025-09-23,Collision,12057.08,Pending,0.0
CL000020,P00036,2026-02-23,Windscreen,9481.84,Approved,9481.84
CL000031,P00052,2026-05-20,Hijacking,,Rejected,0.0
CL000222,P00452,2025-07-24,Water Damage,1673.48,Repudiated,0.0
CL000218,P00440,2025-07-12,Flood/Water Damage,41633.23,Approved,41633.23
CL000146,P00305,2026-07-21,Accidental Damage,3287.08,Approved,3287.08
CL000298,P00588,2024-06-06,Subsidence,12313.75,Approved,12313.75
CL000366,P00705,2026-04-14,Accidental Damage,3513.88,Approved,3513.88
CL000380,P00729,2025-01-03,Fire,4594.26,Approved,4594.26
CL000023,P00042,2026-04-05,Theft/Burglary,2036.94,Approved,2036.94
CL000144,P00303,2024-06-15,Windscreen,20149.14,Approved,20149.14
CL000354,P00687,2025-12-09,Loss,213.17,Approved,213.17
CL000006,P00012,2026-06-18,Water Damage,3424.47,Rejected,0.0
CL000239,P00477,2023-06-09,Windscreen,,Approved,3999.48
CL000245,P00487,2025-03-10,Fire,7609.78,Repudiated,0.0
CL000172,P00351,2024-01-31,Flood/Water Damage,23454.29,Pending,0.0
CL000259,P00517,2026-06-18,Theft,679.06,Approved,679.06
CL000143,P00301,2026-05-01,Accidental Damage,6719.83,Approved,6719.83
CL000234,P00468,2025-08-07,Third Party Damage,14981.33,Approved,14981.33
CL000148,P00307,2024-11-20,Theft,1127.4,Approved,1127.4
CL000345,P00676,2026-02-02,Theft of Vehicle,8508.07,Pending,0.0
CL000063,P00122,2026-05-30,Hijacking,4410.18,Approved,4410.18
CL000289,P00576,2026-06-01,Water Damage,4729.98,Pending,0.0
CL000356,P00687,2026-03-26,Loss,1642.15,Rejected,0.0
CL000009,P00020,2023-11-09,Flood/Water Damage,17812.32,Repudiated,0.0
CL000278,P00557,2025-12-09,Collision,9459.54,Repudiated,0.0
CL000073,P00148,2025-12-21,Fire,6412.68,Approved,6412.68
CL000041,P00070,2026-01-03,Third Party Injury,2308.9,Pending,0.0
CL000027,P00046,2025-10-20,Windscreen,3479.62,Approved,3479.62
CL000330,P00646,2025-02-03,Fire,42586.79,Approved,42586.79
CL000121,P00255,2026-03-17,Fire,9946.76,Approved,9946.76
CL000046,P00083,2026-05-27,Water Damage,1715.86,Approved,1715.86
CL000173,P00356,2026-07-29,Loss,2147.66,Rejected,0.0
CL000034,P00058,2026-04-02,Flood/Water Damage,43432.49,Rejected,0.0
CL000129,P00274,2025-03-30,Third Party Injury,4342.67,Pending,0.0
CL000016,P00033,2025-05-05,Third Party Damage,2978.19,Approved,2978.19
CL000319,P00624,2025-08-18,Storm/Wind Damage,4258.57,Approved,4258.57
CL000376,P00718,2026-05-13,Theft/Burglary,2986.93,Approved,2986.93
CL000381,P00734,2026-03-23,Loss,831.11,Approved,831.11
CL000018,P00034,2025-06-19,Loss,233.96,Rejected,0.0
CL000372,P00707,2026-04-29,Hijacking,3589.59,Approved,3589.59
CL000179,P00367,2026-01-28,Flood/Water Damage,8929.89,Pending,0.0
CL000163,P00333,2025-10-21,Accidental Damage,2439.68,Approved,2439.68
CL000114,P00242,2026-07-30,Third Party Injury,1944.08,Approved,1944.08
CL000096,P00194,2024-06-20,Windscreen,8157.3,Rejected,0.0
CL000097,P00195,2025-10-09,Storm/Wind Damage,3226.77,Pending,0.0
CL000219,P00445,2026-07-02,Subsidence,30206.16,Approved,30206.16
CL000195,P00398,2025-11-24,Collision,674.22,Approved,674.22
CL000282,P00567,2026-04-15,Third Party Damage,9209.75,Approved,9209.75
CL000311,P00613,2024-10-02,Accidental Damage,5483.91,Approved,5483.91
CL000224,P00454,2024-09-11,Windscreen,17149.06,Repudiated,0.0
CL000295,P00585,2024-08-27,Hail Damage,10889.44,Approved,10889.44
CL000357,P00688,2026-03-06,Malicious Damage,9691.89,Pending,0.0
CL000193,P00391,2025-08-07,Collision,12142.43,Approved,12142.43
CL000094,P00194,2024-12-29,Hijacking,7113.11,Approved,7113.11
CL000109,P00228,2026-04-21,Fire,14295.59,Pending,0.0
CL000217,P00438,2024-03-29,Theft/Burglary,1550.95,Approved,1550.95
CL000220,P00446,2023-06-24,Subsidence,4961.0,Approved,4961.0
CL000355,P00687,2024-08-26,Accidental Damage,233.03,Approved,233.03
CL000236,P00470,2026-03-29,Fire,7158.78,Approved,7158.78
CL000315,P00621,2026-06-02,Theft of Vehicle,4064.52,Approved,4064.52
CL000304,P00597,2025-09-26,Collision,17299.66,Approved,17299.66
CL000133,P00278,2023-12-24,Fire,11896.8,Approved,11896.8
CL000080,P00163,2024-12-23,Theft of Vehicle,833.44,Approved,833.44
CL000389,P00743,2025-05-15,Malicious Damage,8927.09,Approved,8927.09
CL000155,P00318,2023-09-06,Accidental Damage,5096.17,Approved,5096.17
CL000212,P00428,2024-11-01,Loss,381.43,Rejected,0.0
CL000077,P00155,2025-12-07,Windscreen,4524.15,Approved,4524.15
CL000139,P00294,2026-05-14,Storm/Wind Damage,39581.11,Approved,39581.11
CL000047,P00084,2026-05-10,Fire,3332.47,Approved,3332.47
CL000055,P00106,2026-06-24,Third Party Damage,7736.38,Approved,7736.38
CL000116,P00247,2026-05-31,Third Party Damage,4123.93,Repudiated,0.0
CL000164,P00333,2025-10-06,Loss,193.79,Rejected,0.0
CL000197,P00401,2024-10-03,Third Party Damage,7299.23,Approved,7299.23
CL000249,P00495,2024-05-17,Windscreen,15068.97,Repudiated,0.0
CL000003,P00007,2026-01-13,Windscreen,6477.06,Approved,6477.06
CL000029,P00048,2024-09-15,Third Party Damage,6811.59,Rejected,0.0
CL000164,P00333,2025-10-06,Loss,193.79,Rejected,0.0
CL000361,P00692,2026-02-10,Collision,11567.19,Approved,11567.19
CL000010,P00021,2025-11-06,Hijacking,2819.82,Approved,2819.82
CL000384,P00737,2026-04-16,Accidental Damage,,Approved,1648.92
CL000154,P00317,2024-11-13,Theft/Burglary,1136.81,Approved,1136.81
CL000098,P00201,2026-05-26,Loss,690.74,Repudiated,0.0
CL000240,P00477,2026-06-20,Theft of Vehicle,5715.67,Approved,5715.67
CL000103,P00221,2025-03-25,Storm/Wind Damage,22070.68,Approved,22070.68
CL000185,P00379,2026-04-16,Hijacking,10420.39,Approved,10420.39
CL000058,P00117,2025-01-20,Fire,,Approved,2462.46
CL000216,P00438,2026-06-04,Theft/Burglary,488.92,Approved,488.92
CL000149,P00308,2025-09-07,Fire,1331.86,Approved,1331.86
CL000166,P00336,2025-05-11,Third Party Injury,1223.85,Pending,0.0
CL000113,P00241,2026-06-20,Third Party Damage,5319.08,Pending,0.0
CL000257,P00511,2025-12-15,Third Party Property Damage,1564.29,Approved,1564.29
CL000337,P00660,2025-11-16,Water Damage,1307.14,Rejected,0.0
CL000347,P00680,2026-07-29,Fire,5843.14,Repudiated,0.0
CL000377,P00723,2026-01-16,Fire,3160.16,Pending,0.0
CL000092,P00189,2026-06-15,Theft/Burglary,1755.03,Approved,1755.03
CL000115,P00246,2026-03-06,Flood/Water Damage,10848.95,Approved,10848.95
CL000071,P00139,2024-01-03,Fire,16158.1,Approved,16158.1
CL000117,P00249,2024-05-30,Hail Damage,3706.48,Approved,3706.48
CL000358,P00690,2026-05-30,Storm/Wind Damage,,Approved,35232.46
CL000122,P00256,2026-07-23,Storm/Wind Damage,2794.82,Pending,0.0
CL000275,P00553,2026-07-27,Fire,4785.1,Approved,4785.1
CL000326,P00642,2025-07-13,Hail Damage,1328.5,Rejected,0.0
CL000365,P00703,2025-02-05,Accidental Damage,30561.0,Approved,1222.44
CL000300,P00593,2024-01-22,Fire,2826.57,Pending,0.0
CL000180,P00367,2026-05-07,Malicious Damage,14205.63,Approved,14205.63
CL000198,P00403,2026-06-10,Accidental Damage,1209.36,Approved,1209.36
CL000106,P00225,2026-07-13,Hijacking,3000.06,Approved,3000.06
CL000021,P00036,2025-08-14,Hijacking,5635.61,Approved,5635.61
CL000238,P00476,2025-10-31,Collision,8882.59,Rejected,0.0
CL000213,P00429,2024-05-26,Subsidence,47921.96,Approved,47921.96
CL000184,P00377,2026-07-01,Accidental Damage,4817.17,Approved,4817.17
CL000183,P00376,2025-04-16,Theft,276.7,Repudiated,0.0
CL000085,P00173,2023-09-21,Flood/Water Damage,6447.61,Approved,6447.61
CL000060,P00118,2024-11-14,Windscreen,3373.36,Approved,3373.36
CL000059,P00118,2023-08-24,Fire,2826.69,Approved,2826.69
CL000157,P00321,2025-06-11,Accidental Damage,366.3,Approved,366.3
CL000392,P00747,2024-04-20,Fire,538.95,Pending,0.0
CL000369,P00706,2025-07-15,Accidental Damage,4479.9,Approved,4479.9
CL000327,P00643,2026-05-17,Fire,4490.05,Approved,4490.05
CL000199,P00403,2025-05-18,Power Surge,5522.51,Approved,5522.51
CL000171,P00348,2025-10-26,Windscreen,5642.86,Repudiated,0.0
CL000061,P00118,2023-07-30,Hail Damage,,Approved,14191.04
CL000176,P00361,2025-02-26,Accidental Damage,204.24,Approved,204.24
CL000108,P00226,2026-04-22,Storm/Wind Damage,6646.31,Approved,6646.31
CL000310,P00612,2026-06-25,Third Party Damage,3540.36,Approved,3540.36
CL000352,P00684,2025-04-22,Third Party Damage,2459.96,Repudiated,0.0
CL000182,P00373,2026-04-11,Theft of Vehicle,5971.65,Pending,0.0
CL000325,P00635,2025-10-11,Fire,8219.86,Approved,8219.86
CL000246,P00487,2023-03-13,Fire,1941.98,Approved,1941.98
CL000204,P00410,2026-02-24,Hijacking,3002.87,Approved,3002.87
CL000301,P00594,2024-12-25,Third Party Injury,9039.53,Approved,9039.53
CL000066,P00131,2026-03-17,Collision,6291.49,Approved,6291.49
CL000261,P00528,2026-02-27,Third Party Injury,2626.61,Pending,0.0
CL000313,P00615,2026-04-09,Fire,3554.83,Approved,3554.83
CL000226,P00457,2026-02-27,Flood/Water Damage,19350.21,Approved,19350.21
CL000247,P00487,2023-04-19,Theft/Burglary,5546.4,Approved,5546.4
CL000026,P00046,2026-07-25,Hail Damage,7352.08,Approved,7352.08
CL000336,P00658,2025-12-12,Malicious Damage,4231.25,Approved,4231.25
CL000362,P00696,2025-05-08,Third Party Property Damage,8483.87,Approved,8483.87
CL000188,P00382,2025-07-18,Third Party Damage,4252.68,Approved,4252.68
CL000028,P00047,2026-03-29,Loss,1033.7,Repudiated,0.0
CL000111,P00238,2026-05-22,Third Party Injury,5032.18,Pending,0.0
CL000161,P00326,2024-06-08,Loss,157.66,Approved,157.66
CL000241,P00482,2025-01-24,Water Damage,673.6,Rejected,0.0
CL000174,P00356,2026-05-02,Accidental Damage,785.84,Pending,0.0
CL000074,P00150,2025-06-25,Collision,5751.97,Approved,5751.97
CL000110,P00236,2025-09-20,Flood/Water Damage,23159.11,Rejected,0.0
CL000124,P00260,2024-09-19,Third Party Damage,3777.98,Approved,3777.98
CL000135,P00283,2025-11-21,Accidental Damage,2312.59,Approved,2312.59
CL000209,P00421,2026-07-12,Subsidence,4406.69,Approved,4406.69
CL000147,P00306,2023-05-15,Accidental Damage,753.98,Repudiated,0.0
CL000353,P00685,2025-11-22,Fire,9721.51,Approved,9721.51
CL000120,P00255,2025-05-24,Fire,5646.81,Rejected,0.0
CL000159,P00321,2026-06-17,Theft,1168.99,Repudiated,0.0
CL000101,P00212,2026-05-10,Accidental Damage,712.5,Approved,712.5
CL000292,P00582,2026-07-31,Hijacking,5309.94,Approved,5309.94
CL000090,P00182,2025-09-03,Theft of Vehicle,8165.25,Approved,8165.25
CL000083,P00171,2025-06-16,Hijacking,6285.76,Approved,6285.76
CL000270,P00540,2026-01-27,Hail Damage,18878.05,Repudiated,0.0
